NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;MISSILE_THRUST;MISSILE_BOOSTTIME;MISSILE_CRUISETHRUST;MISSILE_CRUISETIME;MISSILE_MAXTURNRATEDPS;MISSILE_BLASTPOWER;MISSILE_BLASTHEAT;MISSILE_BLASTRADIUS;MISSILE_GUIDANCEACTIVE;MISSILE_HOMINGTYPE;MISSILE_TARGETINGTYPE;MISSILE_MINLAUNCHSPEED;MISSILE_MINSTATICLAUNCHRANGE;MISSILE_MAXSTATICLAUNCHRANGE;MISSILE_OPTIMUMAIRSPEED;CRUISE_TERMINALMANEUVERING; CRUISE_TERMINALGUIDANCETYPE; CRUISE_TERMINALGUIDANCEDISTANCE;RADAR_ACTIVERADARRANGE;RADAR_RADARLOAL;TRACK_MAXOFFBORESIGHT;TRACK_LOCKEDSENSORFOV;HEAT_HEATTHRESHOLD;LASER_BEAMCORRECTIONFACTOR; LASER_BEAMCORRECTIONDAMPING
KD20;CN KD20 AIR-GROUND Missile;BahamutoD & Kerwis;Kerbal Liberation Army;2.5;650;5;3600;60;5;24;200000;50;25;-1;150;True;cruise;gps;50;0;1500000;330;False;radar;20000;20000;True;360;30;150;0;0
LS6;CN LS6;BahamutoD & Kerwis;Kerbal Liberation Army;0.5;950;5;3600;0;0;1.5;80;40;25;-1;150;True;cruise;laser;0;0;20000;300;False;laser;10000;6000;False;360;2.5;150;0;0
PL-10A;CN PL-10E Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.085;950;5;3600;25;6;10;45;65;25;-1;150;True;aam;heat;0;100;15000;750;False;;0;6000;False;270;60;50;0;0
PL-12;CN PL-12 AMRAAM Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.14;950;5;3600;40;2.2;15;10;65;25;-1;150;True;aam;radar;0;0;100000;980;False;;0;70000;True;60;30;150;0;0
PL-15;CN PL-15 Air-Air Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.18;950;5;3600;55;5;40;15;60;25;-1;150;True;aam;radar;0;0;150000;1600;False;;0;150000;True;160;60;150;0;0
PL-8B;CN PL-8 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.115;950;5;3600;30;2.2;3;10;50;25;-1;150;True;aam;heat;0;0;8000;680;False;;0;6000;False;70;2.5;150;0;0
YJ-83;CN YJ83 SHIP-SHIP Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.85;650;5;3600;60;3;15;200;35;25;-1;150;True;cruise;laser;0;0;40000;320;False;radar;10000;10000;True;60;30;150;0;0
YJ-83K;CN YJ83K AIR-SHIP Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.85;650;5;3600;45;8;18;200;35;25;-1;150;True;cruise;laser;0;0;40000;320;False;radar;10000;10000;True;60;30;150;0;0
YJ12;CN YJ-12 Air-Ship Missile;BahamutoD & Kerwis;Kerbal Liberation Army;2.2;950;5;5000;350;15;120;150;250;25;-1;150;True;agmballistic;radar;0;0;100000;900;False;;0;20000;False;60;30;150;0;0
YJ18;CN YJ-18 Anti-Ship Missile;BahamutoD & Kerwis;Kerbal Liberation Army;1.8;950;500;5000;12;120;200;12;250;25;-1;150;True;cruise;radar;0;0;300000;900;False;;0;20000;False;60;30;150;0;0
YJ9;CN YJ-9 Small-sized Multi-function Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.1;950;5;3600;20;2.2;3;20;65;25;-1;150;True;agm;radar;0;0;35000;300;False;;0;7000;True;60;30;150;0;0
YU6;CN YU-6;BahamutoD & Kerwis;Kerbal Liberation Army;1.2;950;80;500;1;5;26;500;35;25;-1;150;True;aam;radar;0;0;15000;40;False;radar;1000;8000;True;270;7;150;0;0
YU-7;CN YU-7;BahamutoD & Kerwis;Kerbal Liberation Army;0.235;950;80;500;1;5;10;300;45;70;155;10;True;aam;radar;0;0;10000;45;False;radar;1000;8000;True;270;7;150;0;0
METEOR;EU METEOR Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.14;950;5;3600;40;2.2;8;100;40;25;-1;150;True;aam;radar;0;500;150000;1050;False;;0;60000;True;60;5;150;0;0
MICA.IR;EU MICA-IR Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.112;950;5;3600;33;2.2;3;10;70;25;-1;150;True;aam;heat;0;0;8000;680;False;;0;6000;False;180;2.5;120;0;0
9M114;RU 9M114 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;3600;5;3;2;10;30;25;-1;150;True;agm;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;0;0
9M120;RU 9M120 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;3600;5;3;2;10;30;25;-1;150;True;beamriding;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;4.5;0.0075
9M121;RU 9M121 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;3600;5;5;3;6;30;25;-1;150;True;agm;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;0;0
KH-41;RU KH-41 AIR-GROUND Missile;BahamutoD & Kerwis;Kerbal Liberation Army;3.72;650;100;5000;500;5;150;4000;40;25;-1;150;True;cruise;gps;0;0;100000;220;False;radar;20000;20000;True;360;20;150;0;0
RVV-AE-PD;RU RVV-AE-PD Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.205;950;5;3600;100;5;50;120;65;25;-1;150;True;aam;radar;0;2000;160000;770;False;;0;160000;True;35;30;150;0;0
SS-26;RU 9K723 Iskander-M (SS-26)（SS-26）;BahamutoD & Kerwis;Kerbal Liberation Army;3.8;950;5;4000;400;120;100;360;80;25;-1;150;True;agmballistic;gps;0;0;480000;600;False;laser;20000;6000;False;360;2.5;150;0;0
VA-111;RU VK-111 Torpedo;BahamutoD & Kerwis;Kerbal Liberation Army;0.27;950;80;500;100;5;65;300;30;25;-1;150;True;aam;radar;0;5;10000;220;False;;0;1000;True;50;5;150;0;0
AIM-120D;US AIM-120D AMRAAM Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.15;950;5;3600;50;5;35;20;65;25;-1;150;True;aam;radar;0;0;185000;1250;False;;0;180000;True;160;60;150;0;0
AIM9X;US AIM9X Sidewinder Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.085;950;5;3600;45;5;12;40;85;25;-1;150;True;aam;heat;0;200;12000;780;False;;0;6000;False;300;80;45;0;0
ALASM;US ALASM-N;BahamutoD & Kerwis;Kerbal Liberation Army;0.8;4000;500;9500;120;20;40;300;250;25;-1;150;True;aam;radar;0;16000;400000;1200;False;;0;50000;False;180;30;150;0;0
TOW2B;US TOW2B Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.02;120;5;3600;24;0.12;1;5.5;20;30;-1;20;True;agmballistic;laser;0;20;3500;200;False;;0;6000;False;360;2.5;150;0;0
THERIM-116;RIM-116 Rolling Airframe Missile;Spanner/Kergan/Themorris;MalFunc Industries;0.0735;700;8;3600;200;0.1;10;10;45;25;-1;150;True;aam;heat;0;500;9000;630;False;;0;6000;False;180;7;30;0;0
THERIM-67B;RIM-67B Standard Missile 2 Block I.;Spanner/Kergan/Themorris;MalFunc Industries;0.35;700;8;3600;110;5.9;80;62;32;25;-1;150;True;aam;radar;0;1000;185000;700;False;;0;40000;True;180;7;150;0;0
AGM2588;AGM2588;Johnny005611;Johnny005611;2.5;2000;50;360000;240;8;30;600;80;25;-1;150;True;cruise;radar;0;0;1200000;300;True;radar;2000000;2000000;True;360;360;150;0;0
AGM46;AGM46;Johnny005611;Johnny005611;0.55;2000;500;3600;80;3;10;600;80;25;-1;150;True;cruise;radar;0;0;800000;400;True;radar;20000;2000000;True;360;360;150;0;0
AGM84;AGM84;Johnny005611;Johnny005611;0.85;2000;50;3600;120;3;20;600;80;25;-1;150;True;cruise;radar;0;0;800000;500;False;;0;880000;True;360;360;150;0;0
AGM84BS;AGM84BS;Johnny005611;Johnny005611;1.05;2000;50;3600;140;4;20;600;80;25;-1;150;True;cruise;radar;0;0;800000;500;False;;0;880000;True;360;360;150;0;0
BMM;BMM;Johnny005611;Johnny005611;2;2000;300;10000;500;10;200;800;80;25;-1;150;True;agm;radar;0;500;1500000;1880;False;;0;750000;True;360;360;150;0;0
CUDA;CUDA;Johnny005611;Johnny005611;0.05;2000;50;360000;15;2;10;600;80;25;-1;150;True;aam;radar;0;0;50000;800;False;;0;500000;True;360;360;150;0;0
HHQX;HHQX;Johnny005611;Johnny005611;0.05;2000;50;360000;0;0;12;60;80;25;-1;150;True;aam;radar;0;0;15000;800;False;;0;500000;True;360;360;150;0;0
GBBM;GBBM;Johnny005611;Johnny005611;5;150;50;360000;400;12;80;1200;80;25;-1;150;True;cruise;radar;0;0;1200000;1000;True;radar;2000000;2000000;True;360;360;150;0;0
HHQ16C;HHQ16C;Johnny005611;Johnny005611;0.15;2000;500;10000;50;5;20;600;80;25;-1;150;True;aam;radar;0;500;80000;1280;True;radar;2000000;500000;True;180;360;150;0;0
HHQ16CPBR;HHQ16CPBR;Johnny005611;Johnny005611;0.15;2000;500;10000;50;4;20;600;80;25;-1;150;True;aam;radar;0;500;80000;1280;False;;0;500000;True;360;360;150;0;0
HHQ17;HHQ17;Johnny005611;Johnny005611;0.5;2000;500;10000;120;5;30;600;80;25;-1;150;True;aam;radar;0;2000;400000;1400;False;;0;500000;True;360;360;150;0;0
HHQ19;HHQ19;Johnny005611;Johnny005611;1.5;2000;50;360000;360;3;160;1200;80;25;-1;150;True;aam;radar;0;20000;1200000;1600;True;radar;2000000;5000000;True;360;360;150;0;0
HHQ19RCS;HHQ19RCS;Johnny005611;Johnny005611;0.01;4000;50;80000;100;0.5;2;2000;80;25;-1;150;True;rcs;radar;0;0;2000000;220;True;radar;2E+07;2E+07;True;360;360;150;0;0
LRASM-A;LRASM-A;Johnny005611;Johnny005611;1.05;2000;50;360000;50;4;20;600;30;25;-1;150;True;cruise;radar;0;0;1200000;300;False;;0;20000;True;360;360;150;0;0
LRASM-AS;LRASM-AS;Johnny005611;Johnny005611;1.55;2000;50;360000;120;4;30;600;30;25;-1;150;True;cruise;radar;0;0;1200000;300;False;;0;20000;True;360;360;150;0;0
LRASM-B;LRASM-B;Johnny005611;Johnny005611;1.05;2000;50;360000;50;2;100;600;70;25;-1;150;True;cruise;radar;0;0;1200000;1150;False;;0;20000;True;360;360;150;0;0
LRASM-BS;LRASM-BS;Johnny005611;Johnny005611;1.55;2000;50;360000;120;4;100;600;80;25;-1;150;True;cruise;radar;0;0;1200000;1150;False;;0;20000;True;360;360;150;0;0
MK48 Torpedo;MK48 Torpedo;Johnny005611;Johnny005611;2.4;950;50;500000;400;2;200;3600;60;25;-1;150;True;aam;radar;0;0;50000;100;False;radar;50000;50000;True;360;360;150;0;0
MK56 Torpedo;MK56 Torpedo;Johnny005611;Johnny005611;1.4;950;50;500000;2;4;100;1200;45;25;-1;150;True;aam;radar;0;0;50000;80;False;radar;50000;50000;True;360;360;150;0;0
MK58 Torpedo;MK58 Torpedo;Johnny005611;Johnny005611;2.4;950;50;500000;2;4;200;3600;60;25;-1;150;True;aam;radar;0;0;50000;100;False;radar;50000;50000;True;360;360;150;0;0
RR120;RR120;Johnny005611;Johnny005611;0.05;2000;50;360000;30;2;20;600;70;25;-1;150;True;aam;radar;0;0;300000;1200;False;;0;100000;True;360;360;150;0;0
RR121;RR121;Johnny005611;Johnny005611;0.5;2000;50;360000;120;0.5;20;600;70;25;-1;150;True;aam;radar;0;0;300000;1200;False;;0;100000;True;360;360;150;0;0
SAS;SAS;Johnny005611;Johnny005611;0.05;2000;500;3600;20;2;10;600;60;25;-1;150;True;aam;radar;0;0;20000;600;False;;0;5000;True;360;360;150;0;0
SDB28;SDB28;Johnny005611;Johnny005611;0.05;2000;50;360000;4;1;2;600;20;25;-1;150;True;agm;radar;0;0;120000;300;False;;0;5000;True;360;360;150;0;0
SM.AADRM;SM_AADRM;Johnny005611;Johnny005611;0.05;2000;5;3600;45;2;20;600;80;25;-1;150;True;aam;radar;0;500;500000;1080;False;;0;250000;True;360;360;150;0;0
SM.KKV;SM_KKV;Johnny005611;Johnny005611;0.15;2000;500;10000;140;3;25;800;80;25;-1;150;True;aam;radar;0;500;1000000;1600;False;;0;750000;True;360;360;150;0;0
SM.KV11;SM_KV11;Johnny005611;Johnny005611;0.01;4000;50;80000;6;3;1;800;80;25;-1;150;True;rcs;radar;0;0;1000000;220;False;;0;1E+07;True;360;360;150;0;0
SM.LREW;SM_LREW;Johnny005611;Johnny005611;0.15;2000;500;10000;100;3.5;20;800;80;25;-1;150;True;aam;radar;0;500;1000000;1880;False;;0;500000;True;360;360;150;0;0
SM.RAADRM;SM_RAADRM;Johnny005611;Johnny005611;0.05;2000;5;3600;40;2;20;600;80;25;-1;150;True;aam;radar;0;200;200000;800;False;;0;100000;True;360;360;150;0;0
SM.SADRM;SM_SADRM;Johnny005611;Johnny005611;0.15;2000;500;10000;60;4;20;600;80;25;-1;150;True;aam;radar;0;500;500000;1080;False;;0;250000;True;360;360;150;0;0
SM.SRADRM;SM_SRADRM;Johnny005611;Johnny005611;0.15;2000;500;10000;40;3.2;20;600;80;25;-1;150;True;aam;radar;0;500;350000;880;False;;0;150000;True;360;360;150;0;0
X51A;X51A;Johnny005611;Johnny005611;1.55;2000;50;360000;240;20;300;600;80;25;-1;150;True;cruise;radar;0;0;1200000;2000;False;;0;20000;True;360;360;150;0;0
NAS.AB.Type99No80.IJN;Type 99 No.80 Mk 5 Bomb;BahamutoD & Kerwis;Kerbin Navy;0.7968;750;64;3600;0;0;0;80;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.DC.Type3.IJN;Type 3 Depth Charge;BahamutoD & Kerwis;Kerbin Navy;0.15;300;400;5600;0;0;0;120;0;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.FlareBomb;Aerial Flare Bomb;BahamutoD & Kerwis;Kerbin Navy;0.023;75;1;7200;0;180;0;0;12.5;25;-1;150;False;none;none;0;10;5000;5;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.AN-Mk1.USN;AN-Mk 1 1,600 lb Armor Piercing Bomb;BahamutoD & Kerwis;Kerbin Navy;0.726;700;80;3600;0;0;0;90;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.HVAR.USN;High Velocity Aircraft Rocket;BahamutoD & Kerwis;Kerbin Navy;0.061;120;10;3600;0;0.0025;5;1.5;30;8.5;7.6;15;False;none;none;0;10;5000;419;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.TinyTim.USN;Tiny Tim Unguided Rocket;BahamutoD & Kerwis;Kerbin Navy;0.569;480;10;3600;0;0.005;8;1;30;23.5;21;40;False;none;none;0;10;5000;245.8;False;;0;6000;False;360;2.5;150;0;0
NAS.DC.Mark9.USN;Depth Charge Mark 9 Mod 2;BahamutoD & Kerwis;Kerbin Navy;0.15;300;50;5600;0;0;0;120;0;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
AGM-12C;AGM-12C Bullpup;Toonu;Bahamuto Dynamics;0.81;2400;5;3600;130;4;20;20;4;25;-1;150;True;agm;laser;0;200;10000;600;False;heat;0;0;True;60;7;320;0;0
AGM-28;AGM-28 Hound Dog;Toonu;Bahamuto Dynamics;0.81;2400;5;3600;130;4;20;20;7;25;-1;150;True;cruise;gps;0;200;10000;600;False;radar;200000;200000;True;360;7;320;0;0
AGM-45;AGM-45B "Shrike";Toonu;Naval Air Weapons Station China Lake;0.177;2400;5;3600;80;15;0;30;25;25;-1;150;True;agm;antirad;0;200;40000;514.5;False;heat;0;0;True;60;7;320;0;0
AIM-4A;AIM-4A "Falcon";Toonu;Bahamuto Dynamics;0.061;2400;5;3600;16;4.5;12.5;10;10;25;-1;150;True;aam;radar;0;200;9700;1000;False;heat;0;0;False;10;2;320;0;0
AIM-7E;AIM-7E "Sparrow";Toonu;Bahamuto Dynamics;0.197;2400;5;3600;40;4;22;20;15;25;-1;150;True;aam;radar;0;200;30000;1400;False;heat;0;0;False;20;3;320;0;0
AIM-9B;AIM-9B Sidewinder Missile;Toonu;Raytheon;0.07;1200;5;3600;26.4;4;10;0;16;25;-1;150;True;aam;heat;0;200;4800;583.1;False;heat;0;0;False;30;3;320;0;0
AIM-9D;AIM-9D;Toonu;Bahamuto Dynamics;0.085;1200;5;3600;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;30;3;320;0;0
AIM-9L;AIM-9L Sidewinder Missile;Toonu;Bahamuto Dynamics;0.085;1200;5;3600;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;30;3;320;0;0
AIM-9M;AIM-9M Sidewinder Missile;Toonu;Bahamuto Dynamics;0.085;1200;5;3600;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;30;3;320;0;0
AIM-9P;AIM-9P Sidewinder Missile;Toonu;Bahamuto Dynamics;0.085;1200;5;3600;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;30;3;320;0;0
fim43;FIM-43 Redeye;Toonu;Convair;0.0083;1200;5;3600;3.3;5.8;1.1;6;20;25;-1;150;True;aam;heat;0;200;4500;580;False;heat;0;0;False;90;6;50;0;0
Firestreak;de Havilland Firestreak;Toonu;de Havilland;0.136;2400;5;3600;100;2.5;60;0;12;25;-1;150;True;aam;heat;0;200;6400;1029;False;heat;0;0;False;60;7;100;0;0
GWS20;GWS-20 Seacat;Toonu;Bahamuto Dynamics;0.172;2400;5;3600;18;6;5;10;15;25;-1;150;True;aam;radar;0;200;7600;600;False;heat;0;0;False;8;3;320;0;0
Magic1;R.550 Magic I;Toonu;Bahamuto Dynamics;0.172;2400;5;3600;18;6;5;10;15;25;-1;150;True;aam;radar;0;200;7600;600;False;heat;0;0;False;8;3;320;0;0
Masurca;Masurca;Toonu;Bahamuto Dynamics;0.172;2400;5;3600;18;6;5;10;15;25;-1;150;True;aam;radar;0;200;7600;600;False;heat;0;0;False;8;3;320;0;0
R511;R.511;Toonu;Matra;0.184;2400;5;3600;18;6;5;10;15;25;-1;150;True;aam;radar;0;200;7000;617.4;False;heat;0;0;False;8;3;320;0;0
R530;R.530;Toonu;Matra;0.192;2400;5;3600;83.3;2.7;40;6.5;20;25;-1;150;True;aam;radar;0;200;20000;600;False;heat;0;0;False;8;3;320;0;0
RB04C;RB 04C;Toonu;SAAB;0.6;2400;5;3600;1.9;5.5;1.9;60;30;25;-1;150;True;aam;radar;0;200;7600;600;False;heat;0;0;False;28;8;320;0;0
RedTop;British Aerospace Red Top;Toonu;Bahamuto Dynamics;0.154;2400;5;3600;40;4;22;20;15;25;-1;150;True;aam;heat;0;200;12000;1400;False;heat;0;0;False;80;7;50;0;0
Swingfire;Swingfire;Toonu;Bahamuto Dynamics;0.03;4000;5;3600;0;0;1.5;7;32;25;-1;150;True;beamriding;laser;0;500;3000;250;False;heat;0;0;False;45;5;320;0;0
velvetGlove;Velvet Glove;Toonu;Canadair;0.144;2000;5;3600;35;1.9;0;20;10;25;-1;150;True;aam;heat;0;200;4500;789;False;heat;0;0;False;40;7;5;0;0
9M14Malyutka;9M14 "Malyutka";Toonu;KB Mashinostroyeniya;0.01;4000;5;3600;0;0;1.5;7;32;25;-1;150;True;beamriding;laser;0;500;3000;115;False;heat;0;0;False;45;5;320;0;0
Buk;9M317 "Buk";Toonu;Bahamuto Dynamics;1.2;4000;5;3600;120;6;65;120;15;25;-1;150;True;aam;radar;0;2000;35000;700;False;heat;0;0;False;60;15;100;0;0
K5;K-5;Toonu;Kaliningrad Series Production Plant;0.0827;2400;5;3600;30;4;5;0;8;25;-1;150;True;aam;radar;0;200;6000;800;False;heat;0;0;False;8;3;320;0;0
Kh-22;Kh-22;Toonu;MKB Raduga;5.82;2400;5;3600;450;10;300;300;10;25;-1;150;True;agm;radar;0;10000;480000;1111;False;heat;0;38000;False;60;20;100;0;0
